"AY","Department","Level","naics2_descr","naics3_descr","count"
"2012","TE","U","Retail","Health & Personal Care Stores",1
"2012","TE","U","Retail","Sporting Goods, Hobby, Book & Music Stores",1
"2012","HCS","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Education","Educational Services",1
"2014","TE","U","Education","Educational Services",1
"2012","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Education","Educational Services",1
"2014","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Arts, Entertainment, & Recreation","Amusement, Gambling & Recreation",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Health Care & Social Assistance","Social Assistance",1
"2012","TE","U","Health Care & Social Assistance","Ambulatory Health Care Services",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Construction","Specialty Trade Contractors",1
"2012","HCS","U","Retail","Clothing & Clothing Accessories Stores",1
"2012","HCS","U","Retail","Sporting Goods, Hobby, Book & Music Stores",1
"2012","RSP","U","Transportation & Warehousing","Couriers & Messengers",1
"2012","RSP","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","RSP","U","Public Administration","Justice, Public Order & Safety",1
"2014","TE","U","Retail","Food & Beverage Stores",1
"2014","TE","U","Education","Educational Services",1
"2014","TE","U","Admin. & Support & Waste Management & Remediation Services","Administrative & Support Services",1
"2013","TE","U","Education","Educational Services",1
"2014","HCS","U","Retail","Clothing & Clothing Accessories Stores",1
"2014","HCS","U","Other Services","Personal & Laundry Services",1
"2014","HCS","U","Transportation & Warehousing","Water Transportation",1
"2013","TE","U","Education","Educational Services",1
"2013","TE","U","Health Care & Social Assistance","Social Assistance",1
"2012","TE","U","Education","Educational Services",1
"2014","HCS","U","Retail","Clothing & Clothing Accessories Stores",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2013","HCS","U","Admin. & Support & Waste Management & Remediation Services","Administrative & Support Services",1
"2013","HCS","U","Retail","Clothing & Clothing Accessories Stores",1
"2013","HCS","U","Retail","General Merch&ise Stores",1
"2012","TE","U","Arts, Entertainment, & Recreation","Amusement, Gambling & Recreation",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Public Administration","Justice, Public Order & Safety",1
"2013","TE","U","Admin. & Support & Waste Management & Remediation Services","Administrative & Support Services",1
"2013","TE","U","Manufacturing","Nonmetallic Mineral Product Manufacturing",1
"2013","HCS","U","Retail","Clothing & Clothing Accessories Stores",1
"2013","HCS","U","Retail","Nonstore Retailers",1
"2012","TE","U","Education","Educational Services",1
"2013","HCS","U","Retail","Clothing & Clothing Accessories Stores",1
"2013","HCS","U","Accommodation & Food Services","Accommodation",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Health Care & Social Assistance","Social Assistance",1
"2014","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2013","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2013","TE","U","Education","Educational Services",1
"2014","TE","U","Admin. & Support & Waste Management & Remediation Services","Administrative & Support Services",1
"2014","TE","U","Information","Motion Picture & Sound Recording Industries",1
"2013","TE","U","Education","Educational Services",1
"2014","TE","U","Education","Educational Services",1
"2013","RSP","U","Retail","Health & Personal Care Stores",1
"2013","RSP","U","Manufacturing","Paper Manufacturing",1
"2014","TE","U","Arts, Entertainment, & Recreation","Amusement, Gambling & Recreation",1
"2014","TE","U","Education","Educational Services",1
"2014","TE","U","Public Administration","Executive, Legislative & Other General Government Support",1
"2014","TE","U","Education","Educational Services",1
"2012","TE","U","Education","Educational Services",1
"2013","TE","U","Education","Educational Services",1
"2013","MUS","U","Education","Educational Services",1
"2013","MUS","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Health Care & Social Assistance","Ambulatory Health Care Services",1
"2012","TE","U","Education","Educational Services",1
"2013","TE","U","Education","Educational Services",1
"2013","TE","U","Retail","Gasoline Stations",1
"2012","TE","U","Construction","Construction of Buildings",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Retail","Sporting Goods, Hobby, Book & Music Stores",1
"2012","TE","U","Health Care & Social Assistance","Social Assistance",1
"2014","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Education","Educational Services",1
"2013","TE","U","Education","Educational Services",1
"2013","TE","U","Health Care & Social Assistance","Social Assistance",1
"2013","TE","U","Education","Educational Services",1
"2012","TE","U","Arts, Entertainment, & Recreation","Amusement, Gambling & Recreation",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Retail","General Merch&ise Stores",1
"2012","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2012","TE","U","Retail","Food & Beverage Stores",1
"2013","TE","U","Arts, Entertainment, & Recreation","Amusement, Gambling & Recreation",1
"2013","TE","U","Construction","Construction of Buildings",1
"2013","TE","U","Accommodation & Food Services","Food Services & Drinking Places",1
"2014","TE","U","Arts, Entertainment, & Recreation","Amusement, Gambling & Recreation",1
"2013","TE","U","Education","Educational Services",1
"2012","TE","U","Education","Educational Services",1
"2012","TE","U","Health Care & Social Assistance","Social Assistance",1
